"GENERIC","SAMPLEID","MISSION","STATION","LANDMARK","BAGNUMBER","ORIGINALWEIGHT","SAMPLETYPE","SAMPLESUBTYPE","PRISTINITY","PRISTINITYDATE","HASTHINSECTION","HASDISPLAYSAMPLE","DISPLAYSAMPLENUMBER","GENERICDESCRIPTION"
"67601",,"Apollo 16",,,,"161.800","Soil","<1 mm","83.913","September, 19 2014 00:00:00",true,,,"Fines, < 1mm"
"67602",,"Apollo 16",,,,"13.450","Soil","1-2 mm","90.706","December, 04 2013 00:00:00",false,,,"Fines, 1-2mm"
"67603",,"Apollo 16",,,,"6.160","Soil","2-4 mm","81.818","August, 12 2014 00:00:00",true,,,"Fines, 2-4mm"
"67604","861","Apollo 16",,,,"2.620","Soil","4-10mm","78.550","November, 02 2010 00:00:00",true,,,
"67605","862","Apollo 16","11",,,"44.520","Breccia","Fragmental","94.295","March, 30 2012 00:00:00",true,,,"polymict"
"67610",,"Apollo 16",,,,"66.830","Unclassified",,"93.580","August, 15 2007 00:00:00",false,,,
"67615","863","Apollo 16","11",,,"8.770","Breccia","Impact Melt","86.545","March, 30 2012 00:00:00",true,,,"Fine-grained"
"67616","864","Apollo 16","11",,,"21.290","Breccia","Impact Melt","96.990","August, 15 2007 00:00:00",true,,,"Fine-grained"
"67617","865","Apollo 16","11",,,"14.320","Breccia","Impact Melt","98.499","September, 19 2014 00:00:00",true,,,"Fine-grained"
"67618","866","Apollo 16","11",,,"11.170","Breccia","Impact Melt","89.015","March, 30 2012 00:00:00",true,,,"Crystalline"
"67619","867","Apollo 16","11",,,"6.150","Breccia","Impact Melt","98.537","September, 19 2012 00:00:00",true,,,"Fine-grained"
"67625","868","Apollo 16","11",,,"6.720","Breccia","Impact Melt","97.920","August, 15 2007 00:00:00",true,,,"Fine-grained"
"67626","869","Apollo 16","11",,,"19.190","Breccia","Impact Melt","99.317","May, 09 2012 00:00:00",true,,,"Crystalline, polymict"
"67627","870","Apollo 16","11",,,"79.640","Breccia","Impact Melt","96.710","May, 09 2012 00:00:00",true,,,"Glass"
"67628","871","Apollo 16",,,,"0.000","Breccia","Impact Melt","0.000","August, 15 2007 00:00:00",false,,,
"67629","872","Apollo 16","11",,,"5.430","Breccia","Impact Melt","69.098","September, 19 2014 00:00:00",true,,,"Glass"
"67635","873","Apollo 16","11",,,"9.120","Crustal","Anorthosite","87.368","March, 02 2015 00:00:00",true,,,"Pristine cataclastic anorthosite"
"67636","874","Apollo 16","11",,,"3.230","Crustal","Anorthosite","87.616","March, 30 2012 00:00:00",true,,,"Pristine cataclastic anorthosite"
"67637","875","Apollo 16","11",,,"2.340","Crustal","Anorthosite","88.675","July, 11 2013 00:00:00",true,,,"Pristine cataclastic anorthosite"
"67638","876","Apollo 16","11",,,"7.230","Breccia","Fragmental","97.680","August, 15 2007 00:00:00",true,,,"glassy polymict"
"67639","877","Apollo 16","11",,,"7.340","Breccia","unstudied","99.550","August, 15 2007 00:00:00",true,,,"Crystalline, polymict"
"67645","878","Apollo 16","11",,,"0.840","Breccia","Fragmental","65.120","August, 15 2007 00:00:00",true,,,"Fragmental polymict breccia"
"67646","879","Apollo 16","11",,,"3.940","Breccia","Fragmental","92.820","August, 15 2007 00:00:00",true,,,"polymict"
"67647","880","Apollo 16","11",,,"47.720","Breccia","Regolith","94.840","August, 15 2007 00:00:00",true,,,
"67648","881","Apollo 16","11",,,"7.880","Breccia","Impact Melt","98.350","August, 15 2007 00:00:00",true,,,"Crystalline, polymict"
"67649","882","Apollo 16","11",,,"1.600","Breccia","Fragmental","93.750","August, 15 2007 00:00:00",true,,,"polymict"
"67655","883","Apollo 16","11",,,"4.110","Breccia","Impact Melt","97.570","August, 15 2007 00:00:00",true,,,"Crystalline, polymict"
"67656","884","Apollo 16","11",,,"1.930","Breccia","Fragmental","91.610","August, 15 2007 00:00:00",true,,,"polymict"
"67657","885","Apollo 16","11",,,"1.700","Breccia","Fragmental","91.180","August, 15 2007 00:00:00",true,,,"polymict"
"67658","886","Apollo 16","11",,,"1.350","Breccia","Fragmental","89.110","August, 15 2007 00:00:00",true,,,"polymict"
"67659","887","Apollo 16","11",,,"1.620","Breccia","Fragmental","75.432","March, 30 2012 00:00:00",true,,,"Crystalline or fragmental polymict"
"67665","888","Apollo 16","11",,,"5.880","Breccia","Fragmental","89.830","August, 15 2007 00:00:00",true,,,"polymict"
"67666","889","Apollo 16","11",,,"5.470","Breccia","Impact Melt","96.950","August, 15 2007 00:00:00",true,,,"Glassy breccia"
"67667","890","Apollo 16","11",,,"7.890","Breccia","Impact Melt","50.444","March, 02 2015 00:00:00",true,,,"Pristine feldspathic lherzolite"
"67668","891","Apollo 16","11",,,"3.580","Breccia","Impact Melt","96.089","September, 18 2012 00:00:00",true,,,"Poikilitic"
"67669","892","Apollo 16","11",,,"12.540","Breccia","Fragmental","98.560","August, 15 2007 00:00:00",true,,,"polymict"
"67675","893","Apollo 16","11",,,"1.070","Breccia","Impact Melt","99.350","August, 15 2007 00:00:00",true,,,"Glass"
"67676","894","Apollo 16","11",,,"2.330","Breccia","Impact Melt","92.270","August, 15 2007 00:00:00",true,,,"Variolitic"
"67685","895","Apollo 16","11",,,"28.040","Breccia","unstudied","99.472","May, 09 2012 00:00:00",true,,,"Cindery glass"
"67686","896","Apollo 16","11",,,"11.750","Breccia","unstudied","99.740","August, 15 2007 00:00:00",true,,,"Cindery glass"
"67687","897","Apollo 16","11",,,"7.600","Breccia","Impact Melt","99.605","May, 09 2012 00:00:00",true,,,"Cindery glass"
"67688","898","Apollo 16","11",,,"2.320","Breccia","Impact Melt","87.069","May, 09 2012 00:00:00",true,,,"Cindery glass"
"67695","899","Apollo 16","11",,,"14.020","Breccia","Impact Melt","95.399","May, 09 2012 00:00:00",true,,,"Glass"
"67696","900","Apollo 16","11",,,"7.850","Breccia","Impact Melt","99.108","May, 09 2012 00:00:00",true,,,"Glass"
"67697","901","Apollo 16","11",,,"5.540","Breccia","Impact Melt","98.917","May, 09 2012 00:00:00",true,,,"Glassy"
"67700",,"Apollo 16","11","NORTH RAY CRATER",,"144.400","Soil","Unsieved","96.500","August, 15 2007 00:00:00",false,,,"Fines, Unsieved"
"67701",,"Apollo 16",,,,"235.000","Soil","<1 mm","89.686","December, 03 2014 00:00:00",true,,,"Fines, < 1mm"
"67702",,"Apollo 16",,,,"21.690","Soil","1-2 mm","89.912","December, 03 2014 00:00:00",true,,,"Fines, 1-2mm"
"67703",,"Apollo 16",,,,"13.710","Soil","2-4 mm","56.090","July, 30 2014 00:00:00",true,,,"Fines, 2-4mm"
"67704","902","Apollo 16",,,,"7.470","Soil","4-10mm","92.704","November, 18 2009 00:00:00",true,,,
"67705","903","Apollo 16","11",,,"5.820","Breccia","Impact Melt","85.240","August, 15 2007 00:00:00",true,,,"Glass"
"67706","904","Apollo 16","11",,,"1.520","Breccia","Fragmental","91.510","August, 15 2007 00:00:00",true,,,"polymict"
"67707","905","Apollo 16","11",,,"1.420","Breccia","Fragmental","62.680","August, 15 2007 00:00:00",true,,,"polymict"
"67708","906","Apollo 16","11",,,"1.330","Breccia","Fragmental","89.920","August, 15 2007 00:00:00",true,,,"polymict"
"67710",,"Apollo 16","11","NORTH RAY CRATER",,"133.390","Soil","Unsieved","95.830","August, 15 2007 00:00:00",false,,,"Fines, Unsieved"
"67711",,"Apollo 16",,,,"205.300","Soil","<1 mm","92.789","December, 29 2014 00:00:00",false,,,"Fines, < 1mm"
"67712",,"Apollo 16",,,,"34.840","Soil","1-2 mm","92.113","March, 30 2012 00:00:00",true,,,"Fines, 1-2mm"
"67713",,"Apollo 16",,,,"22.450","Soil","2-4 mm","75.501","March, 30 2012 00:00:00",false,,,"Fines, 2-4mm"
"67714","907","Apollo 16",,,,"12.660","Soil","4-10mm","91.701","November, 02 2010 00:00:00",true,,,
"67715","908","Apollo 16","11",,,"9.440","Breccia","Impact Melt","92.532","September, 19 2014 00:00:00",true,,,"Fine-grained"
"67716","909","Apollo 16","11",,,"17.020","Breccia","Impact Melt","97.062","May, 09 2012 00:00:00",true,,,"Fine-grained"
"67717","910","Apollo 16","11",,,"5.560","Breccia","Impact Melt","97.660","August, 15 2007 00:00:00",true,,,"Glassy"
"67718","911","Apollo 16","11",,,"41.050","Breccia","Impact Melt","98.711","September, 19 2014 00:00:00",true,,,"Fine-grained, fragmental"
"67719","912","Apollo 16","11",,,"2.130","Breccia","Impact Melt","96.714","May, 09 2012 00:00:00",true,,,"Fine-grained"
"67725","914","Apollo 16","11",,,"5.850","Breccia","Impact Melt","99.040","August, 15 2007 00:00:00",true,,,"Crystalline, polymict"
"67726","915","Apollo 16","11",,,"4.530","Breccia","Impact Melt","98.760","August, 15 2007 00:00:00",true,,,"Crystalline, polymict"
"67727","916","Apollo 16","11",,,"1.800","Breccia","Impact Melt","99.060","August, 15 2007 00:00:00",true,,,"Fine-grained"
"67728","917","Apollo 16","11",,,"9.250","Breccia","Impact Melt","94.378","May, 09 2012 00:00:00",true,,,"Fine-grained"
"67729","918","Apollo 16","11",,,"73.200","Breccia","Impact Melt","98.025","June, 06 2013 00:00:00",true,,,"Glassy"
"67735","919","Apollo 16","11",,,"13.300","Breccia","Impact Melt","96.170","August, 15 2007 00:00:00",true,,,"Glassy"
"67736","920","Apollo 16","11",,,"14.920","Breccia","Impact Melt","99.678","May, 09 2012 00:00:00",true,,,"Crystalline"
"67737","921","Apollo 16","11",,,"4.560","Breccia","Impact Melt","99.210","August, 15 2007 00:00:00",true,,,"Fine-grained"
"67738","922","Apollo 16","11",,,"5.840","Breccia","Impact Melt","98.120","August, 15 2007 00:00:00",true,,,"Fine-grained"
"67739","923","Apollo 16","11",,,"2.030","Breccia","Impact Melt","92.760","August, 15 2007 00:00:00",true,,,"Fine-grained"
"67745","924","Apollo 16","11",,,"3.530","Breccia","Impact Melt","97.170","August, 15 2007 00:00:00",true,,,"Fine-grained"
"67746","925","Apollo 16","11",,,"3.470","Breccia","Impact Melt","72.968","September, 19 2014 00:00:00",true,,,"Poikiloblastic inpactite"
"67747","926","Apollo 16","11",,,"6.300","Breccia","Impact Melt","75.746","September, 19 2014 00:00:00",true,,,"Basaltic"
"67748","927","Apollo 16","11",,,"4.740","Breccia","Impact Melt","97.890","August, 15 2007 00:00:00",true,,,"Fine-grained"
"67749","928","Apollo 16","11",,,"11.470","Breccia","Fragmental","90.480","September, 19 2014 00:00:00",true,,,"polymict"
"67755","929","Apollo 16","11",,,"3.530","Breccia","Impact Melt","96.880","August, 15 2007 00:00:00",true,,,"Fine-grained"
"67756","930","Apollo 16","11",,,"4.820","Breccia","Impact Melt","94.810","August, 15 2007 00:00:00",true,,,"Crystalline, polymict"
"67757","931","Apollo 16","11",,,"4.830","Breccia","Impact Melt","97.516","May, 09 2012 00:00:00",true,,,"Basaltic/poikilitic"
"67758","932","Apollo 16","11",,,"4.060","Breccia","unstudied","99.010","August, 15 2007 00:00:00",true,,,"Crystalline polymict"
"67759","933","Apollo 16","11",,,"4.560","Breccia","Fragmental","98.772","May, 09 2012 00:00:00",true,,,"polymict"
"67765","934","Apollo 16","11",,,"1.730","Breccia","Impact Melt","98.270","August, 15 2007 00:00:00",true,,,"Fine-grained"
"67766","935","Apollo 16","11",,,"5.470","Breccia","unstudied","89.031","March, 30 2012 00:00:00",true,,,"Crystalline, polymict"
"67767","936","Apollo 16","11",,,"1.670","Breccia","Fragmental","91.500","August, 15 2007 00:00:00",true,,,"polymict"
"67768","937","Apollo 16","11",,,"0.990","Breccia","Fragmental","87.270","August, 15 2007 00:00:00",true,,,"polymict"
"67769","938","Apollo 16","11",,,"3.050","Breccia","Impact Melt","95.410","August, 15 2007 00:00:00",true,,,"Poikilitic"
"67775","939","Apollo 16","11",,,"6.580","Breccia","Impact Melt","90.319","September, 19 2014 00:00:00",true,,,"Fine-grained"
"67776","940","Apollo 16","11",,,"3.100","Breccia","Fragmental","95.230","August, 15 2007 00:00:00",true,,,"polymict"
"67910",,"Apollo 16",,,,"180.330","Residue",,"92.960","August, 15 2007 00:00:00",false,,,
"67915","941","Apollo 16","11",,,"2559.000","Breccia","Fragmental","76.410","February, 26 2015 00:00:00",true,true,"67915,276; 67915,302","Crystalline, polymict"
"67930",,"Apollo 16",,,,"8.510","Residue",,"93.770","August, 15 2007 00:00:00",false,,,
"67935","942","Apollo 16","11",,,"108.900","Breccia","Impact Melt","91.284","January, 21 2015 00:00:00",true,,,"Basaltic"
"67936","943","Apollo 16","11",,,"61.820","Breccia","Impact Melt","94.107","April, 02 2014 00:00:00",true,,,"Basaltic"
"67937","944","Apollo 16","11",,,"59.670","Breccia","Impact Melt","97.590","August, 15 2007 00:00:00",true,,,"Basaltic"
"67940",,"Apollo 16","11","HOUSE ROCK",,"27.220","Soil","Unsieved","96.110","August, 15 2007 00:00:00",false,,,"Fines, Unsieved"
"67941",,"Apollo 16",,,,"105.900","Soil","<1 mm","84.314","December, 04 2014 00:00:00",true,,,"Fines, < 1mm"
"67942",,"Apollo 16",,,,"12.230","Soil","1-2 mm","91.823","December, 04 2013 00:00:00",true,,,"Fines, 1-2mm"
"67943",,"Apollo 16",,,,"9.360","Soil","2-4 mm","93.184","September, 03 2014 00:00:00",false,,,"Fines, 2-4mm"
"67944","945","Apollo 16",,,,"8.590","Soil","4-10mm","85.483","July, 07 2011 00:00:00",true,,,
"67945","946","Apollo 16","11",,,"4.370","Breccia","Impact Melt","90.618","April, 02 2014 00:00:00",true,,,"Basaltic"
"67946","947","Apollo 16","11",,,"3.200","Breccia","Impact Melt","74.063","March, 30 2012 00:00:00",true,,,"Variolitic"
"67947","948","Apollo 16","11",,,"2.430","Breccia","Impact Melt","63.498","May, 09 2012 00:00:00",true,,,"Basaltic"
"67948","949","Apollo 16","11",,,"1.590","Breccia","Impact Melt","24.717","November, 18 2013 00:00:00",true,,,"Basaltic"
"67950",,"Apollo 16",,,,"8.210","Unclassified",,"90.620","August, 15 2007 00:00:00",false,,,
"67955","950","Apollo 16","11",,,"162.600","Crustal","Fragmental","85.938","September, 19 2014 00:00:00",true,,,"Poikiloblastic impactite"
"67956","951","Apollo 16","11",,,"3.700","Breccia","Impact Melt","86.486","April, 02 2014 00:00:00",true,,,"Basaltic"
"67957","952","Apollo 16","11",,,"1.730","Breccia","Impact Melt","91.330","August, 15 2007 00:00:00",true,,,"Glassy"
"67960",,"Apollo 16","11","HOUSE ROCK",,"12.110","Residue",,"60.557","September, 19 2014 00:00:00",false,,,
"67970",,"Apollo 16",,,,"3.150","Residue",,"51.110","August, 15 2007 00:00:00",false,,,
"67975","953","Apollo 16","11",,,"446.600","Breccia","Fragmental","93.479","September, 03 2014 00:00:00",true,,,"polymict"
"68001","955","Apollo 16","8","SOUTH RAY CRATER",,"840.700","Core","unsieved","76.009","December, 03 2014 00:00:00",true,,,
"68002","956","Apollo 16","8","SOUTH RAY CRATER",,"583.500","Core","unsieved","76.517","December, 03 2014 00:00:00",true,,,
"68030",,"Apollo 16",,,,"2.850","Residue",,"100.000","August, 15 2007 00:00:00",false,,,
"68035","957","Apollo 16","8",,,"20.960","Breccia","Impact Melt","98.068","July, 15 2013 00:00:00",true,,,"Crystalline, polymict"
"68110",,"Apollo 16",,,,"35.760","Residue",,"80.150","August, 15 2007 00:00:00",false,,,
"68115","958","Apollo 16","8",,,"1191.000","Breccia","Fragmental","96.229","March, 03 2015 00:00:00",true,,,"Glassy"
"68120",,"Apollo 16","8",,,"90.490","Soil","Unsieved","98.670","August, 15 2007 00:00:00",false,,,"Fines, Unsieved"
"68121",,"Apollo 16",,,,"141.900","Soil","<1 mm","89.843","August, 08 2014 00:00:00",false,,,"Fines, < 1mm"
"68122",,"Apollo 16",,,,"10.920","Soil","1-2 mm","90.840","August, 15 2007 00:00:00",false,,,"Fines, 1-2mm"
"68123",,"Apollo 16",,,,"7.360","Soil","2-4 mm","86.410","August, 15 2007 00:00:00",false,,,"Fines, 2-4mm"
"68124",,"Apollo 16",,,,"8.650","Soil","4-10 mm","92.830","August, 15 2007 00:00:00",false,,,"Fines, 4-10mm"
"68410",,"Apollo 16",,,,"1.460","Residue",,"70.550","August, 15 2007 00:00:00",false,,,
"68415","959","Apollo 16","8",,,"371.200","Breccia","Impact Melt","78.558","March, 10 2015 00:00:00",true,,,"Basaltic"
"68416","960","Apollo 16","8",,,"178.400","Breccia","Impact Melt","75.030","February, 17 2015 00:00:00",true,,,"Basaltic"
"68500",,"Apollo 16","8",,,"304.500","Soil","Unsieved","99.840","August, 15 2007 00:00:00",false,,,"Fines, Unsieved"
"68501",,"Apollo 16",,,,"521.100","Soil","<1 mm","64.939","March, 11 2015 00:00:00",true,,,"Fines, < 1mm"
"68502",,"Apollo 16",,,,"37.800","Soil","1-2 mm","89.172","September, 03 2014 00:00:00",true,,,"Fines, 1-2mm"
"68503",,"Apollo 16",,,,"25.100","Soil","2-4 mm","81.869","August, 12 2014 00:00:00",true,,,"Fines, 2-4mm"
