"GENERIC","SAMPLEID","MISSION","STATION","LANDMARK","BAGNUMBER","ORIGINALWEIGHT","SAMPLETYPE","SAMPLESUBTYPE","PRISTINITY","PRISTINITYDATE","HASTHINSECTION","HASDISPLAYSAMPLE","DISPLAYSAMPLENUMBER","GENERICDESCRIPTION"
"60001","416","Apollo 16","LM",,,"30.100","Core","unsieved","45.488","November, 13 2013 00:00:00",true,,,
"60002","417","Apollo 16","LM",,,"211.800","Core","unsieved","74.021","November, 13 2013 00:00:00",true,,,
"60003","418","Apollo 16","LM",,,"215.900","Core","unsieved","74.876","November, 13 2013 00:00:00",true,,,
"60004","419","Apollo 16","LM",,,"202.700","Core","unsieved","72.856","November, 13 2013 00:00:00",true,,,
"60005","420","Apollo 16","LM",,,"77.300","Core","unsieved","95.962","March, 30 2012 00:00:00",false,,,
"60006","421","Apollo 16","LM",,,"165.600","Core","unsieved","77.328","November, 13 2013 00:00:00",true,,,
"60007","422","Apollo 16","LM",,,"105.700","Core","unsieved","57.229","December, 04 2014 00:00:00",true,,,
"60009","423","Apollo 16","LM",,,"759.800","Core","unsieved","78.297","December, 04 2014 00:00:00",true,,,
"60010","424","Apollo 16","LM",,,"635.300","Core","unsieved","78.275","December, 04 2014 00:00:00",true,,,
"60013","425","Apollo 16","LM",,,"757.300","Core","unsieved","76.253","September, 26 2013 00:00:00",true,,,
"60014","426","Apollo 16","LM",,,"570.300","Core","unsieved","74.816","September, 25 2014 00:00:00",true,,,
"60015","427","Apollo 16","10",,,"5574.000","Breccia","Anorthosite","58.660","March, 09 2015 00:00:00",true,true,"60015,179; 60015,87; 60015,177; 60015,86","Pristine cataclastic anorthosite (G)"
"60016","428","Apollo 16","10",,,"4307.000","Breccia","Fragmental","49.565","December, 04 2014 00:00:00",true,true,,"polymict"
"60017","429","Apollo 16","13","SHADOW ROCK",,"2102.000","Breccia","Impact Melt","95.588","November, 26 2014 00:00:00",true,,,"Variolitic"
"60018","430","Apollo 16","10",,,"1501.000","Breccia","Impact Melt","95.442","September, 03 2014 00:00:00",true,,,"Basaltic"
"60019","431","Apollo 16","10",,,"1887.000","Breccia","Regolith","96.480","March, 04 2015 00:00:00",true,,,"Glassy"
"60020",,"Apollo 16",,,,"51.910","Residue",,"88.310","August, 15 2007 00:00:00",false,,,
"60025","432","Apollo 16","10",,,"1836.000","Breccia","Anorthosite","43.614","March, 11 2015 00:00:00",true,true,"60025,821; 60025,53; 60025,54; 60025,126","Pristine cataclastic anorthosite (G)"
"60030",,"Apollo 16",,,,"79.260","Residue",,"86.900","August, 15 2007 00:00:00",false,,,
"60035","433","Apollo 16","10",,,"1052.000","Breccia","Fragmental","97.688","April, 02 2014 00:00:00",true,,,"Polymict granoblastic"
"60040",,"Apollo 16",,,,"12.120","Residue",,"100.000","August, 15 2007 00:00:00",false,,,
"60050","434","Apollo 16","10",,,"0.000","Soil","Unsieved","100.000","August, 15 2007 00:00:00",false,,,
"60051",,"Apollo 16",,,,"195.300","Soil","<1 mm","89.254","August, 08 2014 00:00:00",true,,,"Fines, < 1mm"
"60052",,"Apollo 16",,,,"11.430","Soil","1-2 mm","91.251","March, 30 2012 00:00:00",true,,,"Fines, 1-2mm"
"60053",,"Apollo 16",,,,"7.410","Soil","2-4 mm","91.161","December, 04 2013 00:00:00",false,,,"Fines, 2-4mm"
"60054","435","Apollo 16",,,,"8.400","Soil","4-10mm","97.260","August, 15 2007 00:00:00",false,,,
"60055","436","Apollo 16","10",,,"35.480","Breccia","Anorthosite","95.896","March, 05 2014 00:00:00",true,,,"Pristine cataclastic anorthosite"
"60056","437","Apollo 16","10",,,"16.070","Breccia","Anorthosite","95.744","March, 30 2012 00:00:00",true,,,"Cataclastic anorthosite (G)"
"60057",,"Apollo 16","10",,,"3.100","Crustal","Anorthosite","100.000","August, 15 2007 00:00:00",false,,,"Cataclastic anorthosite"
"60058",,"Apollo 16","10",,,"2.120","Breccia","Fragmental","100.000","August, 15 2007 00:00:00",false,,,"Fragmental polymict breccia"
"60059",,"Apollo 16","10",,,"1.050","Crustal","Anorthosite","100.000","August, 15 2007 00:00:00",false,,,"Cataclastic anorthosite"
"60070",,"Apollo 16",,,,"79.830","Residue",,"99.340","August, 15 2007 00:00:00",false,,,
"60075","438","Apollo 16","10",,,"183.800","Breccia","Fragmental ","96.163","August, 28 2012 00:00:00",true,,,"polymict"
"60090",,"Apollo 16",,,,"0.100","Residue",,"0.000","August, 15 2007 00:00:00",false,,,
"60095","439","Apollo 16","10",,,"46.600","Breccia","Glass","91.291","November, 13 2013 00:00:00",true,,,"Glass"
"60110",,"Apollo 16",,,,"2.080","Residue",,"66.350","August, 15 2007 00:00:00",false,,,
"60115","440","Apollo 16","10",,,"132.500","Breccia","Impact Melt","96.955","June, 24 2013 00:00:00",true,,,"clast rich, glassy matrix"
"60130",,"Apollo 16",,,,"1.070","Residue",,"74.390","August, 15 2007 00:00:00",false,,,
"60135","441","Apollo 16","10",,,"137.700","Breccia","Anorthosite","94.713","November, 06 2012 00:00:00",true,,,"Cataclastic anorthosite (G)"
"60210",,"Apollo 16",,,,"12.780","Residue",,"89.980","August, 15 2007 00:00:00",false,,,
"60215","442","Apollo 16","10",,,"385.800","Breccia","Anorthosite","95.089","February, 03 2015 00:00:00",true,,,"Pristine cataclastic anorthosite (G)"
"60230",,"Apollo 16",,,,"39.610","Residue",,"99.290","August, 15 2007 00:00:00",false,,,
"60235","443","Apollo 16","10",,,"70.130","Breccia","Impact Melt","94.602","September, 26 2013 00:00:00",true,,,"Basaltic"
"60250",,"Apollo 16",,,,"18.310","Residue",,"82.690","August, 15 2007 00:00:00",false,,,
"60255","444","Apollo 16","10",,,"871.000","Breccia","Regolith","92.908","March, 06 2015 00:00:00",true,,,
"60270",,"Apollo 16",,,,"37.260","Residue",,"90.450","August, 15 2007 00:00:00",false,,,
"60275","446","Apollo 16","10",,,"255.200","Breccia","Regolith","94.439","November, 13 2013 00:00:00",true,,,"Glassy"
"60310",,"Apollo 16",,,,"2.020","Residue",,"77.720","August, 15 2007 00:00:00",false,,,
"60315","447","Apollo 16","10",,,"787.700","Breccia","Impact Melt","89.273","January, 21 2015 00:00:00",true,,,"Poikilitic"
"60330",,"Apollo 16",,,,"2.510","Residue",,"52.990","August, 15 2007 00:00:00",false,,,
"60335","448","Apollo 16","10",,,"317.800","Breccia","Impact Melt","85.476","September, 19 2014 00:00:00",true,,,"Basaltic"
"60500",,"Apollo 16","10",,,"234.400","Soil","Unsieved","99.258","March, 10 2015 00:00:00",false,,,"Fines, Unsieved"
"60501",,"Apollo 16",,,,"433.800","Soil","<1 mm","87.889","February, 04 2014 00:00:00",true,,,"Fines, < 1mm"
"60502",,"Apollo 16",,,,"17.690","Soil","1-2 mm","89.695","March, 30 2012 00:00:00",true,,,"Fines, 1-2mm"
"60503",,"Apollo 16",,,,"9.940","Soil","2-4 mm","73.139","December, 04 2013 00:00:00",true,,,"Fines, 2-4mm"
"60504","449","Apollo 16",,,,"6.630","Soil","4-10mm","93.820","August, 15 2007 00:00:00",false,,,
"60510",,"Apollo 16",,,,"7.670","Residue",,"79.270","August, 15 2007 00:00:00",false,,,
"60515","450","Apollo 16","10",,,"16.740","Breccia","Anorthosite","98.244","March, 30 2012 00:00:00",true,,,"Cataclastic anorthosite"
"60516","451","Apollo 16","10",,,"7.910","Breccia","Anorthosite","97.219","March, 30 2012 00:00:00",true,,,"Cataclastic anorthosite"
"60517","452","Apollo 16","10",,,"1.230","Breccia","Anorthosite","100.000","August, 15 2007 00:00:00",false,,,"Cataclastic anorthosite"
"60518","453","Apollo 16","10",,,"1.120","Breccia","Anorthosite","78.304","November, 06 2012 00:00:00",true,,,"Cataclastic anorthosite"
"60519","454","Apollo 16","10",,,"0.500","Breccia","Anorthosite","100.000","August, 15 2007 00:00:00",false,,,"Cataclastic anorthosite"
"60525","455","Apollo 16","10",,,"12.840","Breccia","Impact Melt","91.262","March, 30 2012 00:00:00",true,,,"Poikilitic"
"60526","456","Apollo 16","10",,,"8.420","Breccia","Impact Melt","84.276","March, 30 2012 00:00:00",true,,,"Poikilitic"
"60527","457","Apollo 16","10",,,"7.360","Breccia","Impact Melt","98.234","February, 25 2011 00:00:00",true,,,"Crystalline polymict glass (G)"
"60528","458","Apollo 16","10",,,"2.940","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Glassy"
"60529","459","Apollo 16","10",,,"1.240","Breccia","Impact Melt","84.677","March, 30 2012 00:00:00",true,,,"Basaltic"
"60535","460","Apollo 16","10",,,"7.230","Breccia","Fragmental","89.959","April, 03 2013 00:00:00",true,,,"polymict"
"60600",,"Apollo 16","10",,,"182.600","Soil","Unsieved","99.195","March, 30 2012 00:00:00",false,,,"Fines, Unsieved"
"60601",,"Apollo 16",,,,"330.200","Soil","<1 mm","56.742","February, 04 2015 00:00:00",true,,,"Fines, < 1mm"
"60602",,"Apollo 16",,,,"14.930","Soil","1-2 mm","86.283","December, 04 2013 00:00:00",false,,,"Fines, 1-2mm"
"60603",,"Apollo 16",,,,"8.570","Soil","2-4 mm","84.854","March, 30 2012 00:00:00",false,,,"Fines, 2-4mm"
"60604","461","Apollo 16",,,,"3.940","Soil","4-10mm","100.000","August, 15 2007 00:00:00",false,,,
"60610",,"Apollo 16",,,,"34.740","Residue",,"75.500","August, 15 2007 00:00:00",false,,,
"60615","462","Apollo 16","10",,,"32.970","Breccia","Impact Melt","92.126","September, 25 2013 00:00:00",true,,,"Basaltic"
"60616","463","Apollo 16","10",,,"3.400","Breccia","Impact Melt","84.941","March, 30 2012 00:00:00",true,,,"Poikilitic"
"60617","464","Apollo 16","10",,,"2.770","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Crystalline"
"60618","465","Apollo 16","10",,,"21.670","Breccia","Impact Melt","92.358","September, 19 2014 00:00:00",true,,,"Basaltic /anorthosite"
"60619","466","Apollo 16","10",,,"28.000","Crustal","Anorthosite","90.754","July, 15 2013 00:00:00",true,,,"Granoblastic anorthosite (G)"
"60625","467","Apollo 16","10",,,"117.000","Breccia","Impact Melt","93.263","March, 30 2012 00:00:00",true,,,"Poikilitic"
"60626","468","Apollo 16","10",,,"15.870","Breccia","Impact Melt","87.372","March, 30 2012 00:00:00",true,,,"Poikilitic"
"60627","469","Apollo 16","10",,,"12.090","Breccia","Impact Melt","97.340","August, 15 2007 00:00:00",false,,,"Crystalline"
"60628","470","Apollo 16","10",,,"6.860","Breccia","Anorthosite","100.000","August, 15 2007 00:00:00",false,,,"Cataclastic anorthosite (G)"
"60629","471","Apollo 16","10",,,"4.920","Breccia","Anorthosite","92.683","July, 15 2013 00:00:00",true,,,"Cataclastic anorthosite (G)"
"60635","472","Apollo 16","10",,,"15.050","Breccia","Impact Melt","67.176","November, 18 2013 00:00:00",true,,,"Basaltic"
"60636","473","Apollo 16","10",,,"35.650","Breccia","Impact Melt","87.459","March, 30 2012 00:00:00",true,,,"Basaltic/poikilitic"
"60637","474","Apollo 16","10",,,"7.980","Breccia","Fragmental","91.228","April, 03 2013 00:00:00",true,,,"polymict"
"60638","475","Apollo 16","10",,,"0.720","Breccia","Fragmental","100.000","August, 15 2007 00:00:00",false,,,"polymict"
"60639","476","Apollo 16","10",,,"175.100","Breccia","Fragmental","97.171","October, 29 2014 00:00:00",true,,,"polymict"
"60645","477","Apollo 16","10",,,"33.500","Breccia","Impact Melt","97.666","March, 30 2012 00:00:00",true,,,"Fine-grained"
"60646","478","Apollo 16","10",,,"3.390","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Fine-grained"
"60647","479","Apollo 16","10",,,"1.760","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Glassy"
"60648","480","Apollo 16","10",,,"2.840","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"clast rich, Glassy"
"60649","481","Apollo 16","10",,,"1.030","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"clast rich, Glassy"
"60655","482","Apollo 16","10",,,"8.630","Breccia","Impact Melt","97.335","February, 22 2011 00:00:00",true,,,"Glassy"
"60656","483","Apollo 16","10",,,"11.230","Breccia","Impact Melt","98.041","March, 30 2012 00:00:00",true,,,"Glassy"
"60657","484","Apollo 16","10",,,"6.050","Breccia","Fragmental","98.017","February, 25 2011 00:00:00",true,,,"polymict"
"60658","485","Apollo 16","10",,,"5.470","Breccia","Impact Melt","94.333","March, 30 2012 00:00:00",true,,,"Glassy"
"60659","486","Apollo 16","10",,,"22.200","Breccia","Fragmental","98.784","March, 30 2012 00:00:00",true,,,"polymict"
"60665","487","Apollo 16","10",,,"90.100","Breccia","Glass","99.020","March, 30 2012 00:00:00",true,,,"few clasts, ves"
"60666","488","Apollo 16","10",,,"15.950","Breccia","Impact Melt","88.420","March, 30 2012 00:00:00",true,,,"Glassy"
"60667","489","Apollo 16","10",,,"7.660","Breccia","Impact Melt","90.209","March, 30 2012 00:00:00",true,,,"Glassy/basaltic"
"60668","490","Apollo 16","10",,,"2.910","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Glassy"
"60669","491","Apollo 16","10",,,"2.540","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Glassy"
"60675","492","Apollo 16","10",,,"1.300","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Fine-grained"
"60676","493","Apollo 16","10",,,"8.920","Breccia","Impact Melt","97.197","March, 30 2012 00:00:00",true,,,"Glassy"
"60677","494","Apollo 16","10",,,"5.230","Breccia","Impact Melt","98.470","February, 22 2011 00:00:00",true,,,"clast rich, Glassy"
"60678","495","Apollo 16","10",,,"1.250","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Glassy"
"60679","496","Apollo 16","10",,,"2.960","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Glassy"
"61010",,"Apollo 16",,,,"64.190","Residue",,"36.130","August, 15 2007 00:00:00",false,,,
"61015","497","Apollo 16","1",,,"1804.000","Breccia","Impact Melt","96.511","November, 20 2014 00:00:00",true,,,"Dilithologic"
"61016","498","Apollo 16","1",,,"11729.000","Breccia","Impact Melt","95.234","February, 05 2015 00:00:00",true,true,"61016,116","Basaltic pristine anorthosite (G)"
"61017",,"Apollo 16","2",,,"2.620","Crustal","Anorthosite","100.000","August, 15 2007 00:00:00",false,,,"Cataclastic anorthosite"
"61130",,"Apollo 16",,,,"12.510","Residue",,"70.870","August, 15 2007 00:00:00",false,,,
"61135","499","Apollo 16","1","PLUM CRATER",,"245.100","Breccia","Fragmental","93.308","June, 24 2013 00:00:00",true,,,"polymict"
"61140",,"Apollo 16","1","PLUM CRATER",,"74.130","Soil","Unsieved","98.490","August, 15 2007 00:00:00",false,,,"Fines, Unsieved"
"61141",,"Apollo 16",,,,"134.700","Soil","<1 mm","71.892","November, 13 2013 00:00:00",true,,,"Fines, < 1mm"
"61142",,"Apollo 16",,,,"9.430","Soil","1-2 mm","94.698","March, 30 2012 00:00:00",false,,,"Fines, 1-2mm"
"61143",,"Apollo 16",,,,"5.380","Soil","2-4 mm","90.706","March, 30 2012 00:00:00",true,,,"Fines, 2-4mm"
"61144","500","Apollo 16",,,,"5.710","Soil","4-10mm","98.490","August, 15 2007 00:00:00",true,,,
"61150",,"Apollo 16",,,,"16.130","Residue",,"86.980","August, 15 2007 00:00:00",false,,,
"61155","501","Apollo 16","1",,,"47.590","Breccia","Impact Melt","98.280","August, 15 2007 00:00:00",true,,,"Glassy"
"61156","502","Apollo 16","1",,,"58.460","Breccia","Impact Melt","66.406","September, 20 2012 00:00:00",true,,,"Meta-poikilitic"
"61157",,"Apollo 16","1",,,"11.260","Breccia","Fragmental","99.380","August, 15 2007 00:00:00",false,,,"Fragmental polymict breccia"
"61158",,"Apollo 16","1",,,"14.790","Breccia","Fragmental","97.500","August, 15 2007 00:00:00",false,,,"Fragmental polymict breccia"
"61160",,"Apollo 16",,"PLUM CRATER",,"52.790","Soil","Unsieved","97.630","August, 15 2007 00:00:00",false,,,"Fines, Unsieved"
"61161",,"Apollo 16",,,,"90.000","Soil","<1 mm","90.743","December, 04 2014 00:00:00",true,,,"Fines, < 1mm"
"61162",,"Apollo 16",,,,"5.120","Soil","1-2 mm","95.117","December, 04 2013 00:00:00",false,,,"Fines, 1-2mm"
"61163",,"Apollo 16",,,,"3.600","Soil","2-4 mm","100.000","August, 15 2007 00:00:00",false,,,"Fines, 2-4mm"
"61164","503","Apollo 16",,,,"2.160","Soil","4-10mm","99.950","August, 15 2007 00:00:00",false,,,
"61170",,"Apollo 16",,,,"16.320","Residue",,"58.640","August, 15 2007 00:00:00",false,,,
"61175","504","Apollo 16","1","PLUM CRATER",,"542.700","Breccia","Fragmental","83.398","December, 04 2014 00:00:00",true,,,"polymict"
"61180",,"Apollo 16",,"PLUM CRATER",,"93.400","Soil","Unsieved","98.790","August, 15 2007 00:00:00",false,,,"Fines, Unsieved"
"61181",,"Apollo 16",,,,"156.200","Soil","<1 mm","92.090","November, 13 2013 00:00:00",true,,,"Fines, < 1mm"
"61182",,"Apollo 16",,,,"9.430","Soil","1-2 mm","100.000","December, 04 2013 00:00:00",false,,,"Fines, 1-2mm"
"61183",,"Apollo 16",,,,"6.230","Soil","2-4 mm","100.000","August, 15 2007 00:00:00",false,,,"Fines, 2-4mm"
"61184","505","Apollo 16",,,,"0.000","Soil","4-10mm","96.158","March, 30 2012 00:00:00",true,,,
"61190",,"Apollo 16",,,,"16.610","Residue",,"77.120","August, 15 2007 00:00:00",false,,,
"61195","506","Apollo 16","1","PLUM CRATER",,"587.900","Breccia","Regolith","96.183","September, 19 2014 00:00:00",true,,,
"61220","507","Apollo 16","1","PLUM CRATER",,"0.000","Soil","Unsieved","94.638","November, 13 2013 00:00:00",true,,,
"61221",,"Apollo 16",,,,"61.000","Soil","<1 mm","25.054","March, 04 2015 00:00:00",true,,,"Fines, < 1mm"
"61222","508","Apollo 16",,,,"0.000","Soil","1-2mm","42.170","March, 30 2012 00:00:00",true,,,
"61223","509","Apollo 16",,,,"0.000","Soil","2-4mm","87.482","March, 04 2015 00:00:00",true,,,
"61224","510","Apollo 16",,,,"0.000","Soil","4-10mm","89.603","March, 02 2015 00:00:00",true,,,
"61225",,"Apollo 16","1",,,"3.520","Breccia","Impact Melt","87.358","February, 25 2011 00:00:00",true,,,"crystalline"
"61226",,"Apollo 16","1",,,"1.530","Crustal","Anorthosite","100.000","August, 15 2007 00:00:00",false,,,"Cataclastic anorthosite (G)"
"61240",,"Apollo 16",,"PLUM CRATER",,"160.800","Soil","Unsieved","98.390","August, 15 2007 00:00:00",false,,,"Fines, Unsieved"
"61241",,"Apollo 16",,,,"247.100","Soil","<1 mm","76.659","December, 04 2014 00:00:00",true,,,"Fines, < 1mm"
"61242",,"Apollo 16",,,,"17.260","Soil","1-2 mm","74.386","December, 04 2013 00:00:00",true,,,"Fines, 1-2mm"
"61243",,"Apollo 16",,,,"13.800","Soil","2-4 mm","80.399","March, 30 2012 00:00:00",false,,,"Fines, 2-4mm"
"61244","511","Apollo 16",,,,"0.000","Soil","4-10mm","95.472","July, 07 2011 00:00:00",false,,,
"61245",,"Apollo 16","1",,,"8.250","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Fine-grained impact melt"
"61246",,"Apollo 16","1",,,"6.050","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Fine-grained impact melt"
"61247",,"Apollo 16","1",,,"2.480","Breccia","Impact Melt","95.890","August, 15 2007 00:00:00",false,,,"Poikilitic impact melt"
"61248",,"Apollo 16","1",,,"1.710","Breccia","Fragmental","100.000","August, 15 2007 00:00:00",false,,,"Fragmental polymict breccia"
"61249",,"Apollo 16","1",,,"1.170","Breccia","Impact Melt","61.620","August, 15 2007 00:00:00",true,,,"Basaltic impact melt"
"61255",,"Apollo 16","1",,,"1.130","Breccia","Unclassified","100.000","August, 15 2007 00:00:00",false,,,"Cindery glass"
"61280",,"Apollo 16",,"FLAG CRATER",,"68.490","Soil","Unsieved","98.060","August, 15 2007 00:00:00",false,,,"Fines, Unsieved"
"61281",,"Apollo 16",,,,"169.600","Soil","<1 mm","94.733","September, 19 2014 00:00:00",false,,,"Fines, < 1mm"
"61282",,"Apollo 16",,,,"10.200","Soil","1-2 mm","91.676","December, 04 2013 00:00:00",false,,,"Fines, 1-2mm"
"61283",,"Apollo 16",,,,"6.740","Soil","2-4 mm","100.000","December, 04 2013 00:00:00",false,,,"Fines, 2-4mm"
"61284","512","Apollo 16",,,,"0.000","Soil","4-10mm","102.100","August, 15 2007 00:00:00",false,,,
"61290",,"Apollo 16",,,,"7.700","Residue",,"85.840","August, 15 2007 00:00:00",false,,,
"61295","513","Apollo 16","1","PLUM CRATER",,"187.000","Breccia","Regolith","92.033","April, 02 2014 00:00:00",true,,,
"61500",,"Apollo 16",,"PLUM CRATER",,"267.800","Soil","Unsieved","88.167","March, 30 2012 00:00:00",false,,,"Fines, Unsieved"
"61501",,"Apollo 16",,,,"466.900","Soil","<1 mm","83.572","December, 04 2013 00:00:00",true,,,"Fines, < 1mm"
"61502",,"Apollo 16",,,,"27.430","Soil","1-2 mm","94.291","December, 04 2013 00:00:00",false,,,"Fines, 1-2mm"
"61503",,"Apollo 16",,,,"20.080","Soil","2-4 mm","91.419","April, 02 2014 00:00:00",true,,,"Fines, 2-4mm"
"61504","514","Apollo 16",,,,"0.000","Soil","4-10mm","95.378","April, 03 2013 00:00:00",true,,,
"61505",,"Apollo 16","1",,,"1.651","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Fine-grained impact melt"
"61510",,"Apollo 16",,,,"38.880","Residue",,"86.980","August, 15 2007 00:00:00",false,,,
"61515","515","Apollo 16","1",,,"2.000","Breccia","Fragmental","100.000","August, 15 2007 00:00:00",false,,,
"61516","516","Apollo 16","1",,,"2.380","Breccia","Fragmental","80.966","March, 30 2012 00:00:00",true,,,"polymict"
"61517","517","Apollo 16","1",,,"0.470","Breccia","Fragmental","100.000","August, 15 2007 00:00:00",false,,,"polymict"
"61518","518","Apollo 16","1",,,"0.160","Breccia","Fragmental","100.000","August, 15 2007 00:00:00",false,,,"polymict"
"61519","519","Apollo 16","1",,,"0.330","Breccia","Fragmental","100.000","August, 15 2007 00:00:00",false,,,"polymict"
"61525","520","Apollo 16","1",,,"10.350","Breccia","Fragmental","96.792","March, 30 2012 00:00:00",true,,,"Polymict, Glassy"
"61526","521","Apollo 16","1",,,"4.080","Breccia","Fragmental","100.000","August, 15 2007 00:00:00",false,,,"polymict"
"61527","522","Apollo 16","1",,,"0.520","Breccia","Fragmental","100.000","August, 15 2007 00:00:00",false,,,"polymict"
"61528","523","Apollo 16","1",,,"0.240","Breccia","Fragmental","100.000","August, 15 2007 00:00:00",false,,,"polymict"
"61529","524","Apollo 16","1",,,"0.280","Breccia","Fragmental","100.000","August, 15 2007 00:00:00",false,,,"polymict"
"61535","525","Apollo 16","1",,,"0.230","Breccia","Fragmental","86.957","March, 30 2012 00:00:00",true,,,"polymict"
"61536","526","Apollo 16","1",,,"85.990","Breccia","Fragmental","99.465","April, 02 2014 00:00:00",true,,,"Glassy"
"61537","527","Apollo 16","1",,,"6.620","Breccia","Fragmental","100.000","August, 15 2007 00:00:00",false,,,"Fragmental polymict breccia (G)"
"61538","528","Apollo 16","1",,,"4.760","Breccia","Fragmental","92.542","March, 30 2012 00:00:00",true,,,"polymict"
"61539","529","Apollo 16","1",,,"5.780","Breccia","Unclassified","100.000","August, 15 2007 00:00:00",false,,,"Glassy breccia"
"61545","530","Apollo 16","1",,,"3.610","Breccia","Fragmental","100.000","August, 15 2007 00:00:00",false,,,"Fragmental polymict breccia (G)"
"61546","531","Apollo 16","1",,,"110.700","Breccia","Impact Melt","99.079","March, 30 2012 00:00:00",true,,,"Glassy"
"61547","532","Apollo 16","1",,,"17.930","Breccia","Impact Melt","93.350","August, 15 2007 00:00:00",true,,,"Basaltic"
"61548","533","Apollo 16","1",,,"24.180","Breccia","Impact Melt","98.172","March, 30 2012 00:00:00",true,,,"Glassy"
"61549","534","Apollo 16","1",,,"3.760","Breccia","Impact Melt","91.223","March, 30 2012 00:00:00",true,,,"Basaltic/poikilitic"
"61555","535","Apollo 16","1",,,"3.460","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Glassy impact melt"
"61556","536","Apollo 16","1",,,"2.230","Breccia","Impact Melt","98.655","March, 30 2012 00:00:00",true,,,"Devitrified Glass"
"61557","537","Apollo 16","1",,,"0.930","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Glass"
"61558","538","Apollo 16","1",,,"3.000","Breccia","Impact Melt","98.000","August, 15 2007 00:00:00",true,,,"Devitrified Glass"
"61559","539","Apollo 16","1",,,"0.620","Breccia","Impact Melt","82.260","August, 15 2007 00:00:00",true,,,"Glassy"
"61565","540","Apollo 16","1",,,"0.880","Breccia","Unclassified","100.000","August, 15 2007 00:00:00",false,,,"Glassy breccia"
"61566","541","Apollo 16","1",,,"0.660","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Glassy impact melt"
"61567","542","Apollo 16","1",,,"0.190","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Glassy impact melt"
"61568","543","Apollo 16","1",,,"19.320","Breccia","Impact Melt","93.499","March, 30 2012 00:00:00",true,,,"Basaltic/poikilitic"
"61569","544","Apollo 16","1",,,"12.020","Breccia","Impact Melt","93.586","March, 30 2012 00:00:00",true,,,"Poikilitic"
"61575","545","Apollo 16","1",,,"5.260","Breccia","Impact Melt","94.750","August, 15 2007 00:00:00",true,,,"Crystalline"
"61576","546","Apollo 16","1",,,"5.870","Basalt","Plagioclase","98.024","March, 30 2012 00:00:00",true,,,"Plagioclase crystal (G)"
"61577","547","Apollo 16","1",,,"0.210","Crustal","Anorthosite","76.190","March, 05 2014 00:00:00",true,,,"Granoblastic troctolitic anorthosite (G)"
"62230",,"Apollo 16","2","BUSTER CRATER",,"4.640","Soil","Unsieved","15.950","August, 15 2007 00:00:00",false,,,"Fines, Unsieved"
"62231",,"Apollo 16",,,,"86.740","Soil","<1 mm","85.330","January, 27 2014 00:00:00",true,,,"Fines, < 1mm"
"62232",,"Apollo 16",,,,"6.960","Soil","1-2 mm","100.000","August, 15 2007 00:00:00",false,,,"Fines, 1-2mm"
"62233",,"Apollo 16",,,,"5.320","Soil","2-4 mm","100.000","August, 15 2007 00:00:00",false,,,"Fines, 2-4mm"
"62234","548","Apollo 16",,,,"8.460","Soil","4-10mm","98.270","August, 15 2007 00:00:00",false,,,
"62235","549","Apollo 16","2",,,"319.600","Breccia","Impact Melt","81.922","February, 18 2015 00:00:00",true,,,"Poikilitic"
"62236","550","Apollo 16","2",,,"57.270","Crustal","Anorthosite","76.759","September, 19 2014 00:00:00",true,,,"Pristine noritic anorthosite"
"62237","551","Apollo 16","2",,,"62.350","Crustal","Anorthosite","62.808","September, 19 2014 00:00:00",true,,,"Pristine troctolitic anorthosite"
"62238",,"Apollo 16","2",,,"1.565","Crustal","Anorthosite","100.000","August, 15 2007 00:00:00",false,,,"Cataclastic anorthosite"
"62240","552","Apollo 16","2","BUSTER CRATER",,"0.000","Soil","Unsieved","90.560","March, 30 2012 00:00:00",false,,,
"62241",,"Apollo 16",,,,"243.400","Soil","<1 mm","88.806","November, 13 2013 00:00:00",true,,,"Fines, < 1mm"
"62242",,"Apollo 16",,,,"21.740","Soil","1-2 mm","83.947","March, 30 2012 00:00:00",false,,,"Fines, 1-2mm"
"62243",,"Apollo 16",,,,"19.600","Soil","2-4 mm","92.117","March, 30 2012 00:00:00",false,,,"Fines, 2-4mm"
